--- 1 ---
(86) 1: -54
(87) 1: -54
(88) 1: -54
(89) 1: -54
(90) 1: -54
(91) 1: -54
(92) 1: -54
(93) 1: -54
(94) 1: -54
(95) 1: -54
(96) 1: -54
(97) 1: -55
(98) 1: -54
(99) 1: -54
(100) 1:-54
--- 6 ---
 (1) 1: -54
 (2) 1: -54
 (3) 1: -55
 (4) 1: -54
 (5) 1: -55
 (6) 1: -54
 (7) 1: -54
 (9) 1: -54
(10) 1: -55
(11) 1: -54
(12) 1: -55
(13) 1: -55
(14) 1: -54
(15) 1: -55
(16) 1: -55
(17) 1: -55
(18) 1: -55
(19) 1: -55
(20) 1: -55
(21) 1: -54
(22) 1: -54
(23) 1: -55
(24) 1: -54
(25) 1: -54
(26) 1: -54
(27) 1: -54
(28) 1: -54
(29) 1: -54
(30) 1: -55
(31) 1: -54
(32) 1: -54
(33) 1: -54
(34) 1: -55
(35) 1: -54
(36) 1: -54
(37) 1: -55
(38) 1: -54
(39) 1: -54
(40) 1: -54
(41) 1: -55
(42) 1: -55
(43) 1: -55
(44) 1: -54
(45) 1: -55
(46) 1: -55
(47) 1: -56
(48) 1: -56
(49) 1: -55
(50) 1: -55
(51) 1: -55
(52) 1: -55
(53) 1: -56
(54) 1: -56
(55) 1: -56
(56) 1: -56
(57) 1: -55
(58) 1: -55
(59) 1: -55
(60) 1: -56
(61) 1: -55
(62) 1: -55
(63) 1: -55
(64) 1: -55
(65) 1: -55
(66) 1: -55
(67) 1: -55
(68) 1: -55
(69) 1: -55
(70) 1: -55
(71) 1: -55
(72) 1: -55
(73) 1: -56
(74) 1: -55
(75) 1: -55
(76) 1: -55
(77) 1: -55
(78) 1: -55
(79) 1: -55
(80) 1: -55
(81) 1: -55
(82) 1: -55
(83) 1: -55
(84) 1: -55
(85) 1: -55
(86) 1: -55
(87) 1: -55
(88) 1: -56
(89) 1: -55
(90) 1: -55
(91) 1: -56
(92) 1: -55
(93) 1: -55
(94) 1: -55
(95) 1: -55
(96) 1: -55
