--- 1 ---
 (7) 0: -84
 (8) 0: -84
 (9) 0: -85
(10) 0: -85
(11) 0: -84
(12) 0: -85
(13) 0: -85
(14) 0: -84
(15) 0: -85
(16) 0: -85
(17) 0: -84
(18) 0: -85
(19) 0: -84
(20) 0: -84
(21) 0: -85
(22) 0: -84
(23) 0: -85
(24) 0: -84
(25) 0: -84
(26) 0: -83
(27) 0: -84
(28) 0: -84
(29) 0: -83
(30) 0: -84
(31) 0: -84
(32) 0: -85
(33) 0: -85
(34) 0: -84
(35) 0: -85
(36) 0: -84
(37) 0: -84
(38) 0: -85
(39) 0: -85
(40) 0: -84
(41) 0: -84
(42) 0: -85
(43) 0: -85
(44) 0: -84
(45) 0: -85
(46) 0: -85
(47) 0: -84
(48) 0: -85
(49) 0: -85
(50) 0: -84
(51) 0: -84
(52) 0: -85
(53) 0: -84
(54) 0: -84
(55) 0: -83
(56) 0: -85
(57) 0: -84
(58) 0: -84
(59) 0: -85
(60) 0: -85
(61) 0: -84
(62) 0: -84
(63) 0: -84
(64) 0: -84
(65) 0: -85
(66) 0: -86
(67) 0: -85
(68) 0: -84
(69) 0: -84
(70) 0: -85
(71) 0: -85
(72) 0: -84
(73) 0: -85
(74) 0: -84
(75) 0: -84
(76) 0: -85
(77) 0: -84
(78) 0: -84
(79) 0: -84
(80) 0: -84
(81) 0: -85
(82) 0: -85
(83) 0: -88
(84) 0: -84
(85) 0: -84
(86) 0: -84
(87) 0: -84
(88) 0: -83
(89) 0: -84
(90) 0: -84
(91) 0: -84
(92) 0: -83
(93) 0: -84
(94) 0: -84
(95) 0: -84
(96) 0: -84
(97) 0: -85
(98) 0: -86
(99) 0: -84
(100) 0:-85
--- 10 ---
 (1) 0: -86
 (2) 0: -86
 (3) 0: -86
 (4) 0: -86
 (5) 0: -85
 (6) 0: -85
 (7) 0: -85
 (8) 0: -85
 (9) 0: -85
(10) 0: -85
(11) 0: -85
(12) 0: -84
(13) 0: -85
(14) 0: -86
(15) 0: -85
(16) 0: -86
(17) 0: -85
(18) 0: -86
(19) 0: -85
(20) 0: -84
(21) 0: -85
(22) 0: -85
(23) 0: -84
(24) 0: -84
(25) 0: -85
(26) 0: -84
(27) 0: -84
(28) 0: -85
(29) 0: -85
(30) 0: -85
(31) 0: -84
(32) 0: -85
(33) 0: -86
(34) 0: -84
(35) 0: -85
(36) 0: -84
(37) 0: -85
(38) 0: -85
(39) 0: -85
(40) 0: -85
(41) 0: -85
(42) 0: -85
(43) 0: -84
(44) 0: -85
(45) 0: -85
(46) 0: -85
(47) 0: -84
(48) 0: -85
(49) 0: -85
(50) 0: -85
(51) 0: -85
(52) 0: -85
(53) 0: -85
(54) 0: -85
(55) 0: -85
(56) 0: -84
(57) 0: -85
(58) 0: -86
(59) 0: -85
(60) 0: -84
(61) 0: -85
(62) 0: -85
(63) 0: -84
(64) 0: -85
(65) 0: -85
(66) 0: -85
(67) 0: -85
(68) 0: -85
(69) 0: -85
(70) 0: -84
(71) 0: -85
(72) 0: -85
(73) 0: -85
(74) 0: -85
(75) 0: -84
(76) 0: -85
(77) 0: -85
(78) 0: -84
(79) 0: -84
(80) 0: -84
(81) 0: -85
(82) 0: -84
(83) 0: -84
(84) 0: -84
(85) 0: -84
(86) 0: -85
(87) 0: -84
(88) 0: -85
(89) 0: -84
(90) 0: -84
(91) 0: -85
(92) 0: -84
(93) 0: -86
(94) 0: -84
(95) 0: -85
(96) 0: -84
(97) 0: -85
(98) 0: -85
(99) 0: -85
(100) 0:-84
