--- 1 ---
(28) 0: -94
(29) 0: -93
(30) 0: -92
(31) 0: -95
(32) 0: -93
(33) 0: -94
(34) 0: -93
(35) 0: -94
(36) 0: -96
(37) 0: -96
(38) 0: -94
(39) 0: -94
(40) 0: -95
(41) 0: -94
(42) 0: -95
(43) 0: -92
(44) 0: -93
(45) 0: -94
(46) 0: -95
(47) 0: -95
(48) 0: -94
(49) 0: -90
(50) 0: -95
(51) 0: -94
(52) 0: -97
(53) 0: -91
(54) 0: -89
(55) 0: -94
(56) 0: -94
(57) 0: -95
(58) 0: -94
(59) 0: -95
(60) 0: -94
(61) 0: -96
(62) 0: -93
(63) 0: -95
(64) 0: -92
(65) 0: -96
(66) 0: -94
(67) 0: -95
(68) 0: -95
(69) 0: -93
(70) 0: -93
(71) 0: -94
(72) 0: -95
(73) 0: -97
(74) 0: -97
(75) 0: -92
(76) 0: -96
(77) 0: -96
(78) 0: -95
(79) 0: -93
(80) 0: -95
(81) 0: -93
(82) 0: -95
(83) 0: -94
(84) 0: -93
(85) 0: -96
(86) 0: -96
(87) 0: -95
(88) 0: -91
(89) 0: -97
(90) 0: -95
(91) 0: -97
(92) 0: -95
(93) 0: -92
(94) 0: -93
(95) 0: -99
(96) 0: -94
(97) 0: -94
(98) 0: -95
(99) 0: -94
(100) 0:-90
--- 8 ---
 (1) 0: -94
 (2) 0: -90
 (3) 0: -94
 (4) 0: -95
 (5) 0: -94
 (6) 0: -96
 (7) 0: -96
 (8) 0: -95
 (9) 0: -96
(10) 0: -96
(11) 0: -96
(12) 0: -95
(13) 0: -89
(14) 0: -96
(15) 0: -95
(16) 0: -92
(17) 0: -94
(18) 0: -91
(19) 0: -95
(20) 0: -94
(21) 0: -95
(22) 0: -96
(23) 0: -98
(24) 0: -97
(25) 0: -94
(26) 0: -95
(27) 0: -95
(28) 0: -92
(29) 0: -95
(30) 0: -95
(31) 0: -94
(32) 0: -94
(33) 0: -91
(34) 0: -94
(35) 0: -94
(36) 0: -95
(37) 0: -98
(38) 0: -93
(39) 0: -96
(40) 0: -101
(41) 0: -95
(42) 0: -94
(43) 0: -99
(44) 0: -97
